('', '2', '3', '5', '7', '89', '461', '235789461', 9)
('', '2', '5', '3', '7', '641', '89', '253764189', 9)
('', '2', '5', '3', '41', '67', '89', '253416789', 9)
('', '2', '5', '3', '41', '89', '67', '253418967', 9)
('', '2', '5', '3', '47', '61', '89', '253476189', 9)
('', '2', '5', '3', '47', '89', '61', '253478961', 9)
('', '2', '5', '3', '61', '47', '89', '253614789', 9)
('', '2', '5', '3', '61', '89', '47', '253618947', 9)
('', '2', '5', '3', '67', '41', '89', '253674189', 9)
('', '2', '5', '3', '67', '89', '41', '253678941', 9)
('', '2', '5', '3', '89', '7', '461', '253897461', 9)
('', '2', '5', '3', '89', '7', '641', '253897641', 9)
('', '2', '5', '3', '89', '41', '67', '253894167', 9)
('', '2', '5', '3', '89', '47', '61', '253894761', 9)
('', '2', '5', '3', '89', '61', '47', '253896147', 9)
('', '2', '5', '3', '89', '67', '41', '253896741', 9)
('', '2', '5', '3', '89', '461', '7', '253894617', 9)
('', '2', '5', '3', '89', '641', '7', '253896417', 9)
('', '2', '5', '3', '461', '7', '89', '253461789', 9)
('', '2', '5', '3', '461', '89', '7', '253461897', 9)
('', '2', '5', '3', '641', '7', '89', '253641789', 9)
('', '2', '5', '3', '641', '89', '7', '253641897', 9)
('', '2', '5', '7', '3', '89', '461', '257389461', 9)
('', '2', '5', '7', '3', '89', '641', '257389641', 9)
('', '2', '5', '7', '3', '461', '89', '257346189', 9)
('', '2', '5', '7', '3', '641', '89', '257364189', 9)
('', '2', '5', '7', '43', '61', '89', '257436189', 9)
('', '2', '5', '7', '43', '89', '61', '257438961', 9)
('', '2', '5', '7', '61', '43', '89', '257614389', 9)
('', '2', '5', '7', '61', '89', '43', '257618943', 9)
('', '2', '5', '7', '89', '3', '461', '257893461', 9)
('', '2', '5', '7', '89', '3', '641', '257893641', 9)
('', '2', '5', '7', '89', '43', '61', '257894361', 9)
('', '2', '5', '7', '89', '61', '43', '257896143', 9)
('', '2', '5', '7', '89', '461', '3', '257894613', 9)
('', '2', '5', '7', '89', '641', '3', '257896413', 9)
('', '2', '5', '7', '461', '3', '89', '257461389', 9)
('', '2', '5', '7', '461', '89', '3', '257461893', 9)
('', '2', '5', '7', '641', '3', '89', '257641389', 9)
('', '2', '5', '7', '641', '89', '3', '257641893', 9)
('', '2', '5', '41', '3', '67', '89', '254136789', 9)
('', '2', '5', '41', '3', '89', '67', '254138967', 9)
('', '2', '5', '41', '67', '3', '89', '254167389', 9)
('', '2', '5', '41', '67', '89', '3', '254167893', 9)
('', '2', '5', '41', '89', '3', '67', '254189367', 9)
('', '2', '5', '41', '89', '67', '3', '254189673', 9)
('', '2', '5', '43', '7', '61', '89', '254376189', 9)
('', '2', '5', '43', '7', '89', '61', '254378961', 9)
('', '2', '5', '43', '61', '7', '89', '254361789', 9)
('', '2', '5', '43', '61', '89', '7', '254361897', 9)
('', '2', '5', '43', '89', '7', '61', '254389761', 9)
('', '2', '5', '43', '89', '61', '7', '254389617', 9)
('', '2', '5', '47', '3', '61', '89', '254736189', 9)
('', '2', '5', '47', '3', '89', '61', '254738961', 9)
('', '2', '5', '47', '61', '3', '89', '254761389', 9)
('', '2', '5', '47', '61', '89', '3', '254761893', 9)
('', '2', '5', '47', '89', '3', '61', '254789361', 9)
('', '2', '5', '47', '89', '61', '3', '254789613', 9)
('', '2', '5', '61', '3', '47', '89', '256134789', 9)
('', '2', '5', '61', '3', '89', '47', '256138947', 9)
('', '2', '5', '61', '7', '43', '89', '256174389', 9)
('', '2', '5', '61', '7', '89', '43', '256178943', 9)
('', '2', '5', '61', '43', '7', '89', '256143789', 9)
('', '2', '5', '61', '43', '89', '7', '256143897', 9)
('', '2', '5', '61', '47', '3', '89', '256147389', 9)
('', '2', '5', '61', '47', '89', '3', '256147893', 9)
('', '2', '5', '61', '89', '3', '47', '256189347', 9)
('', '2', '5', '61', '89', '7', '43', '256189743', 9)
('', '2', '5', '61', '89', '43', '7', '256189437', 9)
('', '2', '5', '61', '89', '47', '3', '256189473', 9)
('', '2', '5', '67', '3', '41', '89', '256734189', 9)
('', '2', '5', '67', '3', '89', '41', '256738941', 9)
('', '2', '5', '67', '41', '3', '89', '256741389', 9)
('', '2', '5', '67', '41', '89', '3', '256741893', 9)
('', '2', '5', '67', '89', '3', '41', '256789341', 9)
('', '2', '5', '67', '89', '41', '3', '256789413', 9)
('', '2', '5', '89', '3', '7', '461', '258937461', 9)
('', '2', '5', '89', '3', '7', '641', '258937641', 9)
('', '2', '5', '89', '3', '41', '67', '258934167', 9)
('', '2', '5', '89', '3', '47', '61', '258934761', 9)
('', '2', '5', '89', '3', '61', '47', '258936147', 9)
('', '2', '5', '89', '3', '67', '41', '258936741', 9)
('', '2', '5', '89', '3', '461', '7', '258934617', 9)
('', '2', '5', '89', '3', '641', '7', '258936417', 9)
('', '2', '5', '89', '7', '3', '461', '258973461', 9)
('', '2', '5', '89', '7', '3', '641', '258973641', 9)
('', '2', '5', '89', '7', '43', '61', '258974361', 9)
('', '2', '5', '89', '7', '61', '43', '258976143', 9)
('', '2', '5', '89', '7', '461', '3', '258974613', 9)
('', '2', '5', '89', '7', '641', '3', '258976413', 9)
('', '2', '5', '89', '41', '3', '67', '258941367', 9)
('', '2', '5', '89', '41', '67', '3', '258941673', 9)
('', '2', '5', '89', '43', '7', '61', '258943761', 9)
('', '2', '5', '89', '43', '61', '7', '258943617', 9)
('', '2', '5', '89', '47', '3', '61', '258947361', 9)
('', '2', '5', '89', '47', '61', '3', '258947613', 9)
('', '2', '5', '89', '61', '3', '47', '258961347', 9)
('', '2', '5', '89', '61', '7', '43', '258961743', 9)
('', '2', '5', '89', '61', '43', '7', '258961437', 9)
('', '2', '5', '89', '61', '47', '3', '258961473', 9)
('', '2', '5', '89', '67', '3', '41', '258967341', 9)
('', '2', '5', '89', '67', '41', '3', '258967413', 9)
('', '2', '5', '89', '461', '3', '7', '258946137', 9)
('', '2', '5', '89', '461', '7', '3', '258946173', 9)
('', '2', '5', '89', '641', '3', '7', '258964137', 9)
('', '2', '5', '89', '641', '7', '3', '258964173', 9)
('', '2', '5', '461', '3', '7', '89', '254613789', 9)
('', '2', '5', '461', '3', '89', '7', '254613897', 9)
('', '2', '5', '461', '7', '3', '89', '254617389', 9)
('', '2', '5', '461', '7', '89', '3', '254617893', 9)
('', '2', '5', '461', '89', '3', '7', '254618937', 9)
('', '2', '5', '461', '89', '7', '3', '254618973', 9)
('', '2', '5', '641', '3', '7', '89', '256413789', 9)
('', '2', '5', '641', '3', '89', '7', '256413897', 9)
('', '2', '5', '641', '7', '3', '89', '256417389', 9)
('', '2', '5', '641', '7', '89', '3', '256417893', 9)
('', '2', '5', '641', '89', '3', '7', '256418937', 9)
('', '2', '5', '641', '89', '7', '3', '256418973', 9)
('', '2', '7', '3', '5', '89', '461', '273589461', 9)
('', '2', '7', '3', '5', '89', '641', '273589641', 9)
('', '2', '7', '3', '5', '461', '89', '273546189', 9)
('', '2', '7', '3', '5', '641', '89', '273564189', 9)
('', '2', '7', '3', '89', '5', '461', '273895461', 9)
('', '2', '7', '3', '89', '5', '641', '273895641', 9)
('', '2', '7', '3', '89', '461', '5', '273894615', 9)
('', '2', '7', '3', '89', '641', '5', '273896415', 9)
('', '2', '7', '3', '461', '5', '89', '273461589', 9)
('', '2', '7', '3', '461', '89', '5', '273461895', 9)
('', '2', '7', '3', '641', '5', '89', '273641589', 9)
('', '2', '7', '3', '641', '89', '5', '273641895', 9)
('', '2', '7', '5', '3', '89', '461', '275389461', 9)
('', '2', '7', '5', '3', '89', '641', '275389641', 9)
('', '2', '7', '5', '3', '461', '89', '275346189', 9)
('', '2', '7', '5', '3', '641', '89', '275364189', 9)
('', '2', '7', '5', '43', '61', '89', '275436189', 9)
('', '2', '7', '5', '43', '89', '61', '275438961', 9)
('', '2', '7', '5', '61', '43', '89', '275614389', 9)
('', '2', '7', '5', '61', '89', '43', '275618943', 9)
('', '2', '7', '5', '89', '3', '461', '275893461', 9)
('', '2', '7', '5', '89', '3', '641', '275893641', 9)
('', '2', '7', '5', '89', '43', '61', '275894361', 9)
('', '2', '7', '5', '89', '61', '43', '275896143', 9)
('', '2', '7', '5', '89', '461', '3', '275894613', 9)
('', '2', '7', '5', '89', '641', '3', '275896413', 9)
('', '2', '7', '5', '461', '3', '89', '275461389', 9)
('', '2', '7', '5', '461', '89', '3', '275461893', 9)
('', '2', '7', '5', '641', '3', '89', '275641389', 9)
('', '2', '7', '5', '641', '89', '3', '275641893', 9)
('', '2', '7', '43', '5', '61', '89', '274356189', 9)
('', '2', '7', '43', '5', '89', '61', '274358961', 9)
('', '2', '7', '43', '61', '5', '89', '274361589', 9)
('', '2', '7', '43', '61', '89', '5', '274361895', 9)
('', '2', '7', '43', '89', '5', '61', '274389561', 9)
('', '2', '7', '43', '89', '61', '5', '274389615', 9)
('', '2', '7', '61', '5', '43', '89', '276154389', 9)
('', '2', '7', '61', '5', '89', '43', '276158943', 9)
('', '2', '7', '61', '43', '5', '89', '276143589', 9)
('', '2', '7', '61', '43', '89', '5', '276143895', 9)
('', '2', '7', '61', '89', '5', '43', '276189543', 9)
('', '2', '7', '61', '89', '43', '5', '276189435', 9)
('', '2', '7', '89', '3', '5', '461', '278935461', 9)
('', '2', '7', '89', '3', '5', '641', '278935641', 9)
('', '2', '7', '89', '3', '461', '5', '278934615', 9)
('', '2', '7', '89', '3', '641', '5', '278936415', 9)
('', '2', '7', '89', '5', '3', '461', '278953461', 9)
('', '2', '7', '89', '5', '3', '641', '278953641', 9)
('', '2', '7', '89', '5', '43', '61', '278954361', 9)
('', '2', '7', '89', '5', '61', '43', '278956143', 9)
('', '2', '7', '89', '5', '461', '3', '278954613', 9)
('', '2', '7', '89', '5', '641', '3', '278956413', 9)
('', '2', '7', '89', '43', '5', '61', '278943561', 9)
('', '2', '7', '89', '43', '61', '5', '278943615', 9)
('', '2', '7', '89', '61', '5', '43', '278961543', 9)
('', '2', '7', '89', '61', '43', '5', '278961435', 9)
('', '2', '7', '89', '461', '3', '5', '278946135', 9)
('', '2', '7', '89', '461', '5', '3', '278946153', 9)
('', '2', '7', '89', '641', '3', '5', '278964135', 9)
('', '2', '7', '89', '641', '5', '3', '278964153', 9)
('', '2', '7', '461', '3', '5', '89', '274613589', 9)
('', '2', '7', '461', '3', '89', '5', '274613895', 9)
('', '2', '7', '461', '5', '3', '89', '274615389', 9)
('', '2', '7', '461', '5', '89', '3', '274615893', 9)
('', '2', '7', '461', '89', '3', '5', '274618935', 9)
('', '2', '7', '461', '89', '5', '3', '274618953', 9)
('', '2', '7', '641', '3', '5', '89', '276413589', 9)
('', '2', '7', '641', '3', '89', '5', '276413895', 9)
('', '2', '7', '641', '5', '3', '89', '276415389', 9)
('', '2', '7', '641', '5', '89', '3', '276415893', 9)
('', '2', '7', '641', '89', '3', '5', '276418935', 9)
('', '2', '7', '641', '89', '5', '3', '276418953', 9)
('', '2', '41', '3', '5', '67', '89', '241356789', 9)
('', '2', '41', '3', '5', '89', '67', '241358967', 9)
('', '2', '41', '3', '67', '5', '89', '241367589', 9)
('', '2', '41', '3', '67', '89', '5', '241367895', 9)
('', '2', '41', '3', '89', '5', '67', '241389567', 9)
('', '2', '41', '3', '89', '67', '5', '241389675', 9)
('', '2', '41', '5', '3', '67', '89', '241536789', 9)
('', '2', '41', '5', '3', '89', '67', '241538967', 9)
('', '2', '41', '5', '67', '3', '89', '241567389', 9)
('', '2', '41', '5', '67', '89', '3', '241567893', 9)
('', '2', '41', '5', '89', '3', '67', '241589367', 9)
('', '2', '41', '5', '89', '67', '3', '241589673', 9)
('', '2', '41', '67', '3', '5', '89', '241673589', 9)
('', '2', '41', '67', '3', '89', '5', '241673895', 9)
('', '2', '41', '67', '5', '3', '89', '241675389', 9)
('', '2', '41', '67', '5', '89', '3', '241675893', 9)
('', '2', '41', '67', '89', '3', '5', '241678935', 9)
('', '2', '41', '67', '89', '5', '3', '241678953', 9)
('', '2', '41', '89', '3', '5', '67', '241893567', 9)
('', '2', '41', '89', '3', '67', '5', '241893675', 9)
('', '2', '41', '89', '5', '3', '67', '241895367', 9)
('', '2', '41', '89', '5', '67', '3', '241895673', 9)
('', '2', '41', '89', '67', '3', '5', '241896735', 9)
('', '2', '41', '89', '67', '5', '3', '241896753', 9)
('', '2', '43', '5', '7', '61', '89', '243576189', 9)
('', '2', '43', '5', '7', '89', '61', '243578961', 9)
('', '2', '43', '5', '61', '7', '89', '243561789', 9)
('', '2', '43', '5', '61', '89', '7', '243561897', 9)
('', '2', '43', '5', '89', '7', '61', '243589761', 9)
('', '2', '43', '5', '89', '61', '7', '243589617', 9)
('', '2', '43', '7', '5', '61', '89', '243756189', 9)
('', '2', '43', '7', '5', '89', '61', '243758961', 9)
('', '2', '43', '7', '61', '5', '89', '243761589', 9)
('', '2', '43', '7', '61', '89', '5', '243761895', 9)
('', '2', '43', '7', '89', '5', '61', '243789561', 9)
('', '2', '43', '7', '89', '61', '5', '243789615', 9)
('', '2', '43', '61', '5', '7', '89', '243615789', 9)
('', '2', '43', '61', '5', '89', '7', '243615897', 9)
('', '2', '43', '61', '7', '5', '89', '243617589', 9)
('', '2', '43', '61', '7', '89', '5', '243617895', 9)
('', '2', '43', '61', '89', '5', '7', '243618957', 9)
('', '2', '43', '61', '89', '7', '5', '243618975', 9)
('', '2', '43', '89', '5', '7', '61', '243895761', 9)
('', '2', '43', '89', '5', '61', '7', '243895617', 9)
('', '2', '43', '89', '7', '5', '61', '243897561', 9)
('', '2', '43', '89', '7', '61', '5', '243897615', 9)
('', '2', '43', '89', '61', '5', '7', '243896157', 9)
('', '2', '43', '89', '61', '7', '5', '243896175', 9)
('', '2', '47', '3', '5', '61', '89', '247356189', 9)
('', '2', '47', '3', '5', '89', '61', '247358961', 9)
('', '2', '47', '3', '61', '5', '89', '247361589', 9)
('', '2', '47', '3', '61', '89', '5', '247361895', 9)
('', '2', '47', '3', '89', '5', '61', '247389561', 9)
('', '2', '47', '3', '89', '61', '5', '247389615', 9)
('', '2', '47', '5', '3', '61', '89', '247536189', 9)
('', '2', '47', '5', '3', '89', '61', '247538961', 9)
('', '2', '47', '5', '61', '3', '89', '247561389', 9)
('', '2', '47', '5', '61', '89', '3', '247561893', 9)
('', '2', '47', '5', '89', '3', '61', '247589361', 9)
('', '2', '47', '5', '89', '61', '3', '247589613', 9)
('', '2', '47', '61', '3', '5', '89', '247613589', 9)
('', '2', '47', '61', '3', '89', '5', '247613895', 9)
('', '2', '47', '61', '5', '3', '89', '247615389', 9)
('', '2', '47', '61', '5', '89', '3', '247615893', 9)
('', '2', '47', '61', '89', '3', '5', '247618935', 9)
('', '2', '47', '61', '89', '5', '3', '247618953', 9)
('', '2', '47', '89', '3', '5', '61', '247893561', 9)
('', '2', '47', '89', '3', '61', '5', '247893615', 9)
('', '2', '47', '89', '5', '3', '61', '247895361', 9)
('', '2', '47', '89', '5', '61', '3', '247895613', 9)
('', '2', '47', '89', '61', '3', '5', '247896135', 9)
('', '2', '47', '89', '61', '5', '3', '247896153', 9)
('', '2', '61', '3', '5', '47', '89', '261354789', 9)
('', '2', '61', '3', '5', '89', '47', '261358947', 9)
('', '2', '61', '3', '47', '5', '89', '261347589', 9)
('', '2', '61', '3', '47', '89', '5', '261347895', 9)
('', '2', '61', '3', '89', '5', '47', '261389547', 9)
('', '2', '61', '3', '89', '47', '5', '261389475', 9)
('', '2', '61', '5', '3', '47', '89', '261534789', 9)
('', '2', '61', '5', '3', '89', '47', '261538947', 9)
('', '2', '61', '5', '7', '43', '89', '261574389', 9)
('', '2', '61', '5', '7', '89', '43', '261578943', 9)
('', '2', '61', '5', '43', '7', '89', '261543789', 9)
('', '2', '61', '5', '43', '89', '7', '261543897', 9)
('', '2', '61', '5', '47', '3', '89', '261547389', 9)
('', '2', '61', '5', '47', '89', '3', '261547893', 9)
('', '2', '61', '5', '89', '3', '47', '261589347', 9)
('', '2', '61', '5', '89', '7', '43', '261589743', 9)
('', '2', '61', '5', '89', '43', '7', '261589437', 9)
('', '2', '61', '5', '89', '47', '3', '261589473', 9)
('', '2', '61', '7', '5', '43', '89', '261754389', 9)
('', '2', '61', '7', '5', '89', '43', '261758943', 9)
('', '2', '61', '7', '43', '5', '89', '261743589', 9)
('', '2', '61', '7', '43', '89', '5', '261743895', 9)
('', '2', '61', '7', '89', '5', '43', '261789543', 9)
('', '2', '61', '7', '89', '43', '5', '261789435', 9)
('', '2', '61', '43', '5', '7', '89', '261435789', 9)
('', '2', '61', '43', '5', '89', '7', '261435897', 9)
('', '2', '61', '43', '7', '5', '89', '261437589', 9)
('', '2', '61', '43', '7', '89', '5', '261437895', 9)
('', '2', '61', '43', '89', '5', '7', '261438957', 9)
('', '2', '61', '43', '89', '7', '5', '261438975', 9)
('', '2', '61', '47', '3', '5', '89', '261473589', 9)
('', '2', '61', '47', '3', '89', '5', '261473895', 9)
('', '2', '61', '47', '5', '3', '89', '261475389', 9)
('', '2', '61', '47', '5', '89', '3', '261475893', 9)
('', '2', '61', '47', '89', '3', '5', '261478935', 9)
('', '2', '61', '47', '89', '5', '3', '261478953', 9)
('', '2', '61', '89', '3', '5', '47', '261893547', 9)
('', '2', '61', '89', '3', '47', '5', '261893475', 9)
('', '2', '61', '89', '5', '3', '47', '261895347', 9)
('', '2', '61', '89', '5', '7', '43', '261895743', 9)
('', '2', '61', '89', '5', '43', '7', '261895437', 9)
('', '2', '61', '89', '5', '47', '3', '261895473', 9)
('', '2', '61', '89', '7', '5', '43', '261897543', 9)
('', '2', '61', '89', '7', '43', '5', '261897435', 9)
('', '2', '61', '89', '43', '5', '7', '261894357', 9)
('', '2', '61', '89', '43', '7', '5', '261894375', 9)
('', '2', '61', '89', '47', '3', '5', '261894735', 9)
('', '2', '61', '89', '47', '5', '3', '261894753', 9)
('', '2', '67', '3', '5', '41', '89', '267354189', 9)
('', '2', '67', '3', '5', '89', '41', '267358941', 9)
('', '2', '67', '3', '41', '5', '89', '267341589', 9)
('', '2', '67', '3', '41', '89', '5', '267341895', 9)
('', '2', '67', '3', '89', '5', '41', '267389541', 9)
('', '2', '67', '3', '89', '41', '5', '267389415', 9)
('', '2', '67', '5', '3', '41', '89', '267534189', 9)
('', '2', '67', '5', '3', '89', '41', '267538941', 9)
('', '2', '67', '5', '41', '3', '89', '267541389', 9)
('', '2', '67', '5', '41', '89', '3', '267541893', 9)
('', '2', '67', '5', '89', '3', '41', '267589341', 9)
('', '2', '67', '5', '89', '41', '3', '267589413', 9)
('', '2', '67', '41', '3', '5', '89', '267413589', 9)
('', '2', '67', '41', '3', '89', '5', '267413895', 9)
('', '2', '67', '41', '5', '3', '89', '267415389', 9)
('', '2', '67', '41', '5', '89', '3', '267415893', 9)
('', '2', '67', '41', '89', '3', '5', '267418935', 9)
('', '2', '67', '41', '89', '5', '3', '267418953', 9)
('', '2', '67', '89', '3', '5', '41', '267893541', 9)
('', '2', '67', '89', '3', '41', '5', '267893415', 9)
('', '2', '67', '89', '5', '3', '41', '267895341', 9)
('', '2', '67', '89', '5', '41', '3', '267895413', 9)
('', '2', '67', '89', '41', '3', '5', '267894135', 9)
('', '2', '67', '89', '41', '5', '3', '267894153', 9)
('', '2', '89', '3', '5', '7', '461', '289357461', 9)
('', '2', '89', '3', '5', '7', '641', '289357641', 9)
('', '2', '89', '3', '5', '41', '67', '289354167', 9)
('', '2', '89', '3', '5', '47', '61', '289354761', 9)
('', '2', '89', '3', '5', '61', '47', '289356147', 9)
('', '2', '89', '3', '5', '67', '41', '289356741', 9)
('', '2', '89', '3', '5', '461', '7', '289354617', 9)
('', '2', '89', '3', '5', '641', '7', '289356417', 9)
('', '2', '89', '3', '7', '5', '461', '289375461', 9)
('', '2', '89', '3', '7', '5', '641', '289375641', 9)
('', '2', '89', '3', '7', '461', '5', '289374615', 9)
('', '2', '89', '3', '7', '641', '5', '289376415', 9)
('', '2', '89', '3', '41', '5', '67', '289341567', 9)
('', '2', '89', '3', '41', '67', '5', '289341675', 9)
('', '2', '89', '3', '47', '5', '61', '289347561', 9)
('', '2', '89', '3', '47', '61', '5', '289347615', 9)
('', '2', '89', '3', '61', '5', '47', '289361547', 9)
('', '2', '89', '3', '61', '47', '5', '289361475', 9)
('', '2', '89', '3', '67', '5', '41', '289367541', 9)
('', '2', '89', '3', '67', '41', '5', '289367415', 9)
('', '2', '89', '3', '461', '5', '7', '289346157', 9)
('', '2', '89', '3', '461', '7', '5', '289346175', 9)
('', '2', '89', '3', '641', '5', '7', '289364157', 9)
('', '2', '89', '3', '641', '7', '5', '289364175', 9)
('', '2', '89', '5', '3', '7', '461', '289537461', 9)
('', '2', '89', '5', '3', '7', '641', '289537641', 9)
('', '2', '89', '5', '3', '41', '67', '289534167', 9)
('', '2', '89', '5', '3', '47', '61', '289534761', 9)
('', '2', '89', '5', '3', '61', '47', '289536147', 9)
('', '2', '89', '5', '3', '67', '41', '289536741', 9)
('', '2', '89', '5', '3', '461', '7', '289534617', 9)
('', '2', '89', '5', '3', '641', '7', '289536417', 9)
('', '2', '89', '5', '7', '3', '461', '289573461', 9)
('', '2', '89', '5', '7', '3', '641', '289573641', 9)
('', '2', '89', '5', '7', '43', '61', '289574361', 9)
('', '2', '89', '5', '7', '61', '43', '289576143', 9)
('', '2', '89', '5', '7', '461', '3', '289574613', 9)
('', '2', '89', '5', '7', '641', '3', '289576413', 9)
('', '2', '89', '5', '41', '3', '67', '289541367', 9)
('', '2', '89', '5', '41', '67', '3', '289541673', 9)
('', '2', '89', '5', '43', '7', '61', '289543761', 9)
('', '2', '89', '5', '43', '61', '7', '289543617', 9)
('', '2', '89', '5', '47', '3', '61', '289547361', 9)
('', '2', '89', '5', '47', '61', '3', '289547613', 9)
('', '2', '89', '5', '61', '3', '47', '289561347', 9)
('', '2', '89', '5', '61', '7', '43', '289561743', 9)
('', '2', '89', '5', '61', '43', '7', '289561437', 9)
('', '2', '89', '5', '61', '47', '3', '289561473', 9)
('', '2', '89', '5', '67', '3', '41', '289567341', 9)
